,PostalCode,Borough,Neighbourhood,Latitude,Longitude
0,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002
1,M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999
2,M3H,NorthYork,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593
3,M2K,NorthYork,Bayview Village,43.7869473,-79.385975
4,M5M,NorthYork,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
5,M5E,DowntownToronto,Berczy Park,43.644770799999996,-79.3733064
6,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481
7,M6K,WestToronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002
8,M7Y,EastToronto,Business reply mail Processing Centre,43.6627439,-79.321558
9,M5V,DowntownToronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
10,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
11,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
12,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999
13,M5G,DowntownToronto,Central Bay Street,43.6579524,-79.3873826
14,M6G,DowntownToronto,Christie,43.669542,-79.4225637
15,M4Y,DowntownToronto,Church and Wellesley,43.6658599,-79.38315990000001
16,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021
17,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999
18,M5L,DowntownToronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
19,M4S,CentralToronto,Davisville,43.7043244,-79.3887901
20,M4P,CentralToronto,Davisville North,43.7127511,-79.3901975
21,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999
22,M3C,NorthYork,Don Mills,43.72589970000001,-79.340923
23,M3B,NorthYork,Don Mills,43.745905799999996,-79.352188
24,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001
25,M3M,NorthYork,Downsview,43.7284964,-79.49569740000001
26,M3K,NorthYork,Downsview,43.737473200000004,-79.46476329999999
27,M3L,NorthYork,Downsview,43.7390146,-79.5069436
28,M3N,NorthYork,Downsview,43.7616313,-79.52099940000001
29,M6H,WestToronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
30,M4J,EastYork,East Toronto,43.685347,-79.3381065
31,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999
32,M2J,NorthYork,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
33,M5X,DowntownToronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
34,M5P,CentralToronto,Forest Hill North & West,43.6969476,-79.41130720000001
35,M5B,DowntownToronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
36,M6B,NorthYork,Glencairn,43.709577,-79.44507259999999
37,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772
38,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
39,M5J,DowntownToronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999
40,M6P,WestToronto,"High Park, The Junction South",43.6616083,-79.46476329999999
41,M2H,NorthYork,Hillcrest Village,43.8037622,-79.3634517
42,M9L,NorthYork,Humber Summit,43.7563033,-79.56596329999999
43,M9M,NorthYork,"Humberlea, Emery",43.7247659,-79.53224240000002
44,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
45,M4L,EastToronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998
46,M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002
47,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002
48,M5T,DowntownToronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
49,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001
50,M6A,NorthYork,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999
51,M4N,CentralToronto,Lawrence Park,43.7280205,-79.3887901
52,M4G,EastYork,Leaside,43.7090604,-79.3634517
53,M6J,WestToronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497
54,M1B,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001
55,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772
